date:day,loadweight
2012-01-01,7163.444657683362
2012-01-02,3812.6285497278286
2012-01-03,3990.0536533113377
2012-01-04,2766.430560997114
2012-01-05,5898.800097698797
2012-01-06,4777.613938423047
2012-01-07,6022.851957847963
2012-01-08,5173.647964585796
2012-01-09,3467.576485793962
2012-01-10,3507.2703036908138
2012-01-11,3569.8665710663495
2012-01-12,7070.4097462414875
2012-01-13,5477.141253144444
2012-01-14,5485.7883723668765
2012-01-15,6159.138095439567
2012-01-16,2711.044473515522
2012-01-17,3518.0776315818166
2012-01-18,3335.345541367289
2012-01-19,7645.8675029331735
2012-01-20,6451.445724790972
2012-01-21,7268.843499295291
2012-01-22,4728.885053837477
2012-01-23,2881.527209728682
2012-01-24,3203.028155662294
2012-01-25,3938.421445265315
2012-01-26,5108.568439878592
2012-01-27,6903.998198023873
2012-01-28,5830.401827722885
2012-01-29,7214.778113297213
2012-01-30,3303.972122344295
2012-01-31,2277.5821944392865
2012-02-01,4154.891230080045
2012-02-02,6922.509762258992
2012-02-03,8162.460622693466
2012-02-04,6712.9662762832695
2012-02-05,6221.541740376478
2012-02-06,3314.642523613053
2012-02-07,2095.3526722849365
2012-02-08,3285.444762314018
2012-02-09,5928.945336526179
2012-02-10,7024.939064733815
2012-02-11,5539.59365635003
2012-02-12,8007.736614113718
2012-02-13,3584.777595837943
2012-02-14,4000.3466012088265
2012-02-15,1355.868670181329
2012-02-16,6510.318284987361
2012-02-17,8131.708946334498
2012-02-18,4808.8557260520065
2012-02-19,5580.460649137312
2012-02-20,4114.659109042263
2012-02-21,1839.2077986045729
2012-02-22,3259.1377642440366
2012-02-23,6678.224577884407
2012-02-24,5390.687618917869
2012-02-25,5016.154406021176
2012-02-26,6983.73201380622
2012-02-27,3650.533212550742
2012-02-28,3021.9330790458944
2012-02-29,1697.8564016905702
2012-03-01,7214.980021927615
2012-03-02,5615.379603052164
2012-03-03,6686.13967577353
2012-03-04,5684.882637238554
2012-03-05,2030.7361550293633
2012-03-06,3752.0537384553318
2012-03-07,4070.418276131286
2012-03-08,3687.8175477166847
2012-03-09,6723.370754416416
2012-03-10,7635.527797292764
2012-03-11,5707.76192116129
2012-03-12,3816.0378322695606
2012-03-13,2579.520116728172
2012-03-14,3307.3929466916484
2012-03-15,7085.159509900292
2012-03-16,7921.157501701149
2012-03-17,6659.731376750361
2012-03-18,6903.019914678185
2012-03-19,3205.2140999430967
2012-03-20,3559.0284731648235
2012-03-21,2708.7640475143876
2012-03-22,4450.641132580358
2012-03-23,6114.80705517745
2012-03-24,6286.013681416686
2012-03-25,4967.203696938894
2012-03-26,4114.3831661629465
2012-03-27,3467.0115496776016
2012-03-28,3992.282599457363
2012-03-29,5525.850325757622
2012-03-30,5153.788551576325
2012-03-31,6094.931830965243
2012-04-01,8194.545898091867
2012-04-02,2183.4135466538437
2012-04-03,4122.487146456893
2012-04-04,4275.136571836347
2012-04-05,7221.412187934127
2012-04-06,6849.493360690328
2012-04-07,5753.023328530109
2012-04-08,5011.677880671154
2012-04-09,4878.221343992749
2012-04-10,2698.95341254362
2012-04-11,2178.422735194472
2012-04-12,4722.969871850335
2012-04-13,4450.656510488572
2012-04-14,6304.310568804208
2012-04-15,7038.595021883185
2012-04-16,3371.445071089508
2012-04-17,4493.885534811288
2012-04-18,5222.427498627304
2012-04-19,5389.979856576061
2012-04-20,6431.538067048468
2012-04-21,7464.65934885239
2012-04-22,6976.441467112057
2012-04-23,3895.773682243738
2012-04-24,4349.745533038236
2012-04-25,3817.2361137545035
2012-04-26,4730.012121182202
2012-04-27,7719.23817068898
2012-04-28,6043.816656949077
2012-04-29,6560.958819921117
2012-04-30,3039.523938570373
2012-05-01,2603.7746561488007
2012-05-02,3523.936883764631
2012-05-03,5645.801699804937
2012-05-04,6377.569463109582
2012-05-05,4451.4926717214275
2012-05-06,8909.158416924322
2012-05-07,3738.030780917727
2012-05-08,3992.3642595420492
2012-05-09,1794.3977169808072
2012-05-10,6970.199230495609
2012-05-11,5531.864933933123
2012-05-12,7487.833441663161
2012-05-13,6800.747872087795
2012-05-14,4027.578193468672
2012-05-15,3694.4953720102026
2012-05-16,2418.077496265784
2012-05-17,7731.600293679645
2012-05-18,6632.648767951952
2012-05-19,7130.834133469354
2012-05-20,6141.488694958487
2012-05-21,2774.6333622057705
2012-05-22,3779.407009395817
2012-05-23,3203.3241821161705
2012-05-24,4696.808761096237
2012-05-25,7917.757771251673
2012-05-26,6564.936933229578
2012-05-27,7303.7855933785495
2012-05-28,2309.8518461653152
2012-05-29,2996.4120632203194
2012-05-30,4533.032803269639
2012-05-31,6027.798812398116
2012-06-01,5510.476016628022
2012-06-02,8023.622442649704
2012-06-03,4011.2243097379865
2012-06-04,3401.4436130019494
2012-06-05,1871.713054587414
2012-06-06,5150.071361472148
2012-06-07,5951.848797908704
2012-06-08,6312.43050395947
2012-06-09,7598.911141049356
2012-06-10,9208.750335439652
2012-06-11,2494.599986012659
2012-06-12,1594.3094897192318
2012-06-13,2842.40211149
2012-06-14,4689.06990445025
2012-06-15,6900.0957401145
2012-06-16,7807.769601572405
2012-06-17,6307.291417847789
2012-06-18,2014.2794518933624
2012-06-19,2327.7941084417034
2012-06-20,3294.0352308673014
2012-06-21,4677.359356705711
2012-06-22,5366.806533358258
2012-06-23,6313.549266748234
2012-06-24,5244.196348162517
2012-06-25,3334.5131695231084
2012-06-26,3835.608514297096
2012-06-27,2672.44639269709
2012-06-28,5592.255799774955
2012-06-29,4445.695655495135
2012-06-30,3739.840529579314
